recording_id,is_corrupted,corruption_reason
neurovoz_HC_ABLANDADA_0034,False,
neurovoz_HC_PIDIO_0034,False,
neurovoz_HC_BURRO_0034,False,
neurovoz_HC_E2_0034,False,
neurovoz_HC_GANGA_0034,False,
neurovoz_HC_I1_0034,False,
neurovoz_HC_O3_0034,False,
neurovoz_HC_MANGA_0034,False,
neurovoz_HC_PAN_VINO_0034,False,
neurovoz_HC_O2_0034,False,
neurovoz_HC_ESPONTANEA_0034,False,
neurovoz_HC_O1_0034,False,
neurovoz_HC_ACAMPADA_0034,False,
neurovoz_HC_A1_0034,False,
neurovoz_HC_E3_0034,False,
neurovoz_HC_PERRO_0034,False,
neurovoz_HC_SOMBRA_0034,False,
neurovoz_HC_BARBAS_0034,False,
neurovoz_HC_DIABLO_0034,False,
neurovoz_HC_I3_0034,False,
neurovoz_HC_PATAKA_0034,False,
neurovoz_HC_TOMAS_0034,False,
neurovoz_HC_PATATA_BLANDA_0034,False,
neurovoz_HC_PETACA_BLANCA_0034,False,
neurovoz_HC_I2_0034,False,
neurovoz_HC_U1_0034,False,
neurovoz_HC_A3_0034,False,
neurovoz_HC_CARMEN_0034,False,
neurovoz_HC_A2_0034,False,
neurovoz_HC_CALLE_0034,False,
neurovoz_HC_PIDIO_0036,False,
neurovoz_HC_DIABLO_0036,False,
neurovoz_HC_A2_0036,False,
neurovoz_HC_PATAKA_0036,False,
neurovoz_HC_E2_0036,False,
neurovoz_HC_PAN_VINO_0036,False,
neurovoz_HC_PETACA_BLANCA_0036,False,
neurovoz_HC_ABLANDADA_0036,False,
neurovoz_HC_MANGA_0036,False,
neurovoz_HC_TOMAS_0036,False,
neurovoz_HC_CARMEN_0036,False,
neurovoz_HC_O1_0036,False,
neurovoz_HC_BARBAS_0036,False,
neurovoz_HC_U1_0036,False,
neurovoz_HC_CALLE_0036,False,
neurovoz_HC_ACAMPADA_0036,False,
neurovoz_HC_A1_0036,False,
neurovoz_HC_I1_0036,False,
neurovoz_HC_BURRO_0036,False,
neurovoz_HC_SOMBRA_0036,False,
neurovoz_HC_PERRO_0036,False,
neurovoz_HC_GANGA_0036,False,
neurovoz_HC_PATATA_BLANDA_0036,False,
neurovoz_HC_ESPONTANEA_0036,False,
neurovoz_HC_SOMBRA_0045,False,
neurovoz_HC_DIABLO_0045,False,
neurovoz_HC_PATATA_BLANDA_0045,False,
neurovoz_HC_I2_0045,False,
neurovoz_HC_CARMEN_0045,False,
neurovoz_HC_GANGA_0045,False,
neurovoz_HC_BURRO_0045,False,
neurovoz_HC_ESPONTANEA_0045,False,
neurovoz_HC_PAN_VINO_0045,False,
neurovoz_HC_E2_0045,False,
neurovoz_HC_BARBAS_0045,False,
neurovoz_HC_I1_0045,False,
neurovoz_HC_U1_0045,False,
neurovoz_HC_CALLE_0045,False,
neurovoz_HC_A1_0045,False,
neurovoz_HC_ABLANDADA_0045,False,
neurovoz_HC_TOMAS_0045,False,
neurovoz_HC_PETACA_BLANCA_0045,False,
neurovoz_HC_O1_0045,False,
neurovoz_HC_MANGA_0045,False,
neurovoz_HC_A2_0045,False,
neurovoz_HC_PERRO_0045,False,
neurovoz_HC_O2_0045,False,
neurovoz_HC_ACAMPADA_0045,False,
neurovoz_HC_PIDIO_0045,False,
neurovoz_HC_PIDIO_0048,False,
neurovoz_HC_E2_0048,False,
neurovoz_HC_ABLANDADA_0048,False,
neurovoz_HC_A1_0048,False,
neurovoz_HC_CALLE_0048,False,
neurovoz_HC_PATATA_BLANDA_0048,False,
neurovoz_HC_O1_0048,False,
neurovoz_HC_MANGA_0048,False,
neurovoz_HC_CARMEN_0048,False,
neurovoz_HC_PATAKA_0048,False,
neurovoz_HC_A2_0048,False,
neurovoz_HC_BARBAS_0048,False,
neurovoz_HC_GANGA_0048,False,
neurovoz_HC_TOMAS_0048,False,
neurovoz_HC_DIABLO_0048,False,
neurovoz_HC_PERRO_0048,False,
neurovoz_HC_I1_0048,False,
neurovoz_HC_PAN_VINO_0048,False,
neurovoz_HC_U1_0048,False,
neurovoz_HC_PETACA_BLANCA_0048,False,
neurovoz_HC_BURRO_0048,False,
neurovoz_HC_SOMBRA_0048,False,
neurovoz_HC_ESPONTANEA_0048,False,
neurovoz_HC_ACAMPADA_0048,False,
neurovoz_HC_O2_0048,False,
neurovoz_HC_I2_0049,False,
neurovoz_HC_A1_0049,False,
neurovoz_HC_PERRO_0049,False,
neurovoz_HC_BARBAS_0049,False,
neurovoz_HC_TOMAS_0049,False,
neurovoz_HC_CALLE_0049,False,
neurovoz_HC_DIABLO_0049,False,
neurovoz_HC_I1_0049,False,
neurovoz_HC_BURRO_0049,False,
neurovoz_HC_U1_0049,False,
neurovoz_HC_O2_0049,False,
neurovoz_HC_A2_0049,False,
neurovoz_HC_CARMEN_0049,False,
neurovoz_HC_ACAMPADA_0049,False,
neurovoz_HC_PAN_VINO_0049,False,
neurovoz_HC_PATAKA_0049,False,
neurovoz_HC_O1_0049,False,
neurovoz_HC_ESPONTANEA_0049,False,
neurovoz_HC_PATATA_BLANDA_0049,False,
neurovoz_HC_MANGA_0049,False,
neurovoz_HC_ABLANDADA_0049,False,
neurovoz_HC_SOMBRA_0049,False,
neurovoz_HC_GANGA_0049,False,
neurovoz_HC_E2_0049,False,
neurovoz_HC_PETACA_BLANCA_0049,False,
neurovoz_HC_PIDIO_0049,False,
neurovoz_HC_A2_0051,False,
neurovoz_HC_ACAMPADA_0051,False,
neurovoz_HC_I1_0051,False,
neurovoz_HC_CARMEN_0051,False,
neurovoz_HC_PAN_VINO_0051,False,
neurovoz_HC_TOMAS_0051,False,
neurovoz_HC_PATATA_BLANDA_0051,False,
neurovoz_HC_SOMBRA_0051,False,
neurovoz_HC_E2_0051,False,
neurovoz_HC_BURRO_0051,False,
neurovoz_HC_CALLE_0051,False,
neurovoz_HC_O1_0051,False,
neurovoz_HC_A1_0051,False,
neurovoz_HC_O2_0051,False,
neurovoz_HC_ABLANDADA_0051,False,
neurovoz_HC_PERRO_0051,False,
neurovoz_HC_ESPONTANEA_0051,False,
neurovoz_HC_GANGA_0051,False,
neurovoz_HC_PIDIO_0051,False,
neurovoz_HC_BARBAS_0051,False,
neurovoz_HC_U1_0051,False,
neurovoz_HC_PETACA_BLANCA_0051,False,
neurovoz_HC_I2_0051,False,
neurovoz_HC_DIABLO_0051,False,
neurovoz_HC_MANGA_0051,False,
neurovoz_HC_PATAKA_0051,False,
neurovoz_HC_PIDIO_0052,False,
neurovoz_HC_MANGA_0052,False,
neurovoz_HC_O1_0052,False,
neurovoz_HC_PERRO_0052,False,
neurovoz_HC_PATATA_BLANDA_0052,False,
neurovoz_HC_A2_0052,False,
neurovoz_HC_PATAKA_0052,False,
neurovoz_HC_A1_0052,False,
neurovoz_HC_BURRO_0052,False,
neurovoz_HC_PETACA_BLANCA_0052,False,
neurovoz_HC_BARBAS_0052,False,
neurovoz_HC_TOMAS_0052,False,
neurovoz_HC_ESPONTANEA_0052,False,
neurovoz_HC_I1_0052,False,
neurovoz_HC_E2_0052,False,
neurovoz_HC_PAN_VINO_0052,False,
neurovoz_HC_O2_0052,False,
neurovoz_HC_GANGA_0052,False,
neurovoz_HC_CARMEN_0052,False,
neurovoz_HC_ABLANDADA_0052,False,
neurovoz_HC_U1_0052,False,
neurovoz_HC_CALLE_0052,False,
neurovoz_HC_ACAMPADA_0052,False,
neurovoz_HC_DIABLO_0052,False,
neurovoz_HC_I2_0052,False,
neurovoz_HC_SOMBRA_0052,False,
neurovoz_HC_PERRO_0053,False,
neurovoz_HC_MANGA_0053,False,
neurovoz_HC_PATATA_BLANDA_0053,False,
neurovoz_HC_TOMAS_0053,False,
neurovoz_HC_I2_0053,False,
neurovoz_HC_O2_0053,False,
